benchmark,grid_index,scan_parameter,scan_value,objective_half_chi2,objective_delta_half_chi2,nuisance,status,boundary
B3,10,k,0.4160167646103808,2.7557541445463944,3.552713678800501e-15,"{""C"": 0.8289567662412043}",PASS,False
B3,11,k,0.4476297224325762,2.755754144546396,4.884981308350689e-15,"{""C"": 0.8919488800220885}",PASS,False
B3,12,k,0.4816449370561384,2.7557541445463998,8.881784197001252e-15,"{""C"": 0.9597277402858874}",PASS,False
B3,13,k,0.5182449550738971,2.755754144546409,1.8207657603852567e-14,"{""C"": 1.0326570937371962}",PASS,False
B3,14,k,0.5576261947257664,2.7557541445463967,5.773159728050814e-15,"{""C"": 1.1111283166813004}",PASS,False
B3,15,k,0.6,2.7557541445463944,3.552713678800501e-15,"{""C"": 1.1955625398663674}",PASS,False
B3,16,k,0.6455937748352074,2.7557541445463984,7.549516567451064e-15,"{""C"": 1.2864128900492129}",PASS,False
B3,17,k,0.6946522035099544,2.7557541445464064,1.554312234475219e-14,"{""C"": 1.3841669196722703}",PASS,False
B3,18,k,0.7474385637693103,2.7557541445463953,4.440892098500626e-15,"{""C"": 1.489349247801005}",PASS,False
B3,19,k,0.8042361397353917,2.7557541445463976,6.661338147750939e-15,"{""C"": 1.6025243368836097}",PASS,False
B3,20,k,0.8653497421844449,2.7557541445464016,1.0658141036401503e-14,"{""C"": 1.7242995612610497}",PASS,False
B3,21,k,0.9311073443492158,2.7557541445463913,4.440892098500626e-16,"{""C"": 1.8553284370530119}",PASS,False
B3,22,k,1.001861842025326,2.755754144546407,1.5987211554602254e-14,"{""C"": 1.9963141512096974}",PASS,False
B3,23,k,1.0779929474274743,2.755754144546397,6.217248937900877e-15,"{""C"": 2.1480133103812666}",PASS,False
B3,24,k,1.1599092269590576,2.7557541445463967,5.773159728050814e-15,"{""C"": 2.3112400346575277}",PASS,False
B3,25,k,1.2480502938311424,2.755754144546397,6.217248937900877e-15,"{""C"": 2.486870300012727}",PASS,False
B3,26,k,1.3428891672977286,2.755754144546396,4.884981308350689e-15,"{""C"": 2.675846641099774}",PASS,False
B3,27,k,1.444934811168415,2.7557541445464016,1.0658141036401503e-14,"{""C"": 2.8791832239766433}",PASS,False
